transaction_id,branch_id,sale_datetime,received_at,sale_amount,cost_amount,item_count
T90001,BR01,2026-07-20 09:40:51,2026-07-21T06:15:00Z,62.52,51.01,6
T90002,BR01,2026-07-20 17:36:48,2026-07-21T06:15:00Z,47.83,39.14,3
T90003,BR01,2026-07-20 15:42:38,2026-07-21T06:15:00Z,78.33,63.2,1
T90004,BR01,2026-07-20 14:28:02,2026-07-21T06:15:00Z,25.74,20.56,2
T90005,BR01,2026-07-20 16:18:45,2026-07-21T06:15:00Z,215.78,176.23,3
T90006,BR01,2026-07-20 10:23:07,2026-07-21T06:15:00Z,153.83,123.11,3
T90007,BR01,2026-07-20 12:45:17,2026-07-21T06:15:00Z,49.79,41.63,1
T90008,BR01,2026-07-20 14:08:41,2026-07-21T06:15:00Z,113.68,92.09,3
T90009,BR01,2026-07-20 15:04:24,2026-07-21T06:15:00Z,43.11,34.37,2
T90010,BR01,2026-07-20 11:41:44,2026-07-21T06:15:00Z,107.14,86.0,4
T90011,BR01,2026-07-20 17:56:34,2026-07-21T06:15:00Z,24.05,20.07,3
T90012,BR01,2026-07-20 09:22:47,2026-07-21T06:15:00Z,21.16,17.15,3
T90013,BR01,2026-07-20 14:54:23,2026-07-21T06:15:00Z,51.09,41.89,4
T90014,BR01,2026-07-20 13:47:50,2026-07-21T06:15:00Z,50.73,40.7,2
T90015,BR01,2026-07-20 12:21:27,2026-07-21T06:15:00Z,30.47,25.33,2
T90016,BR01,2026-07-20 13:21:28,2026-07-21T06:15:00Z,145.3,118.48,1
T90017,BR01,2026-07-20 14:07:11,2026-07-21T06:15:00Z,142.45,116.32,3
T90018,BR01,2026-07-20 13:11:24,2026-07-21T06:15:00Z,65.9,54.28,1
T90019,BR01,2026-07-20 09:41:58,2026-07-21T06:15:00Z,23.01,18.38,3
T90020,BR01,2026-07-20 10:56:27,2026-07-21T06:15:00Z,115.78,96.7,3
T90021,BR01,2026-07-20 13:47:03,2026-07-21T06:15:00Z,23.88,19.74,1
T90022,BR01,2026-07-20 14:08:43,2026-07-21T06:15:00Z,150.55,122.85,2
T90023,BR01,2026-07-20 16:35:39,2026-07-21T06:15:00Z,155.24,126.08,3
T90024,BR01,2026-07-20 16:56:46,2026-07-21T06:15:00Z,230.12,189.19,3
T90025,BR01,2026-07-20 08:16:37,2026-07-21T06:15:00Z,231.48,190.11,4
T90026,BR01,2026-07-20 13:38:02,2026-07-21T06:15:00Z,28.07,23.14,1
T90027,BR01,2026-07-20 08:10:13,2026-07-21T06:15:00Z,71.63,58.99,1
T90028,BR01,2026-07-20 08:37:27,2026-07-21T06:15:00Z,317.85,259.73,3
T90029,BR01,2026-07-20 08:55:52,2026-07-21T06:15:00Z,52.62,43.2,6
T90030,BR01,2026-07-20 16:00:44,2026-07-21T06:15:00Z,22.9,19.21,1
T90031,BR01,2026-07-20 09:36:59,2026-07-21T06:15:00Z,58.52,47.54,2
T90032,BR01,2026-07-20 13:54:09,2026-07-21T06:15:00Z,61.07,50.58,1
T90033,BR01,2026-07-20 12:47:47,2026-07-21T06:15:00Z,123.33,98.57,1
T90034,BR01,2026-07-20 16:48:33,2026-07-21T06:15:00Z,92.57,76.56,6
T90035,BR01,2026-07-20 18:36:38,2026-07-21T06:15:00Z,36.16,28.88,3
T90036,BR01,2026-07-20 11:18:08,2026-07-21T06:15:00Z,171.27,140.11,1
T90037,BR01,2026-07-20 16:03:10,2026-07-21T06:15:00Z,14.16,11.34,2
T90038,BR01,2026-07-20 14:54:09,2026-07-21T06:15:00Z,28.02,23.55,3
T90039,BR01,2026-07-20 19:34:47,2026-07-21T06:15:00Z,239.72,191.07,2
T90040,BR01,2026-07-20 08:19:36,2026-07-21T06:15:00Z,40.37,33.84,2
T90041,BR01,2026-07-20 17:35:45,2026-07-21T06:15:00Z,114.45,91.55,4
T90042,BR01,2026-07-20 17:04:09,2026-07-21T06:15:00Z,94.61,77.77,4
T90043,BR01,2026-07-20 12:20:20,2026-07-21T06:15:00Z,76.82,61.32,2
T90044,BR01,2026-07-20 09:20:31,2026-07-21T06:15:00Z,126.24,100.64,6
T90045,BR01,2026-07-20 12:20:02,2026-07-21T06:15:00Z,13.46,11.04,1
T90046,BR01,2026-07-20 13:23:09,2026-07-21T06:15:00Z,18.34,15.11,1
T90047,BR01,2026-07-20 13:52:28,2026-07-21T06:15:00Z,512.94,422.75,1
T90048,BR01,2026-07-20 18:51:35,2026-07-21T06:15:00Z,101.68,83.48,1
T90049,BR01,2026-07-20 10:35:22,2026-07-21T06:15:00Z,53.92,43.35,4
T90050,BR01,2026-07-20 19:51:36,2026-07-21T06:15:00Z,33.03,27.84,4
T90051,BR01,2026-07-20 13:37:34,2026-07-21T06:15:00Z,42.81,35.86,3
T90052,BR01,2026-07-20 14:13:47,2026-07-21T06:15:00Z,61.09,49.43,3
T90053,BR01,2026-07-20 16:32:51,2026-07-21T06:15:00Z,18.16,14.83,3
T90054,BR01,2026-07-20 15:19:34,2026-07-21T06:15:00Z,22.94,18.9,4
T90055,BR01,2026-07-20 08:56:54,2026-07-21T06:15:00Z,50.04,40.57,6
T90056,BR01,2026-07-20 12:14:07,2026-07-21T06:15:00Z,84.19,70.67,1
T90057,BR01,2026-07-20 17:10:11,2026-07-21T06:15:00Z,33.43,26.78,2
T90058,BR01,2026-07-20 09:37:40,2026-07-21T06:15:00Z,98.14,82.56,4
T90059,BR01,2026-07-20 14:49:06,2026-07-21T06:15:00Z,56.68,47.14,3
T90060,BR01,2026-07-20 11:08:42,2026-07-21T06:15:00Z,68.0,54.28,2
T90061,BR01,2026-07-20 18:12:14,2026-07-21T06:15:00Z,439.51,363.31,1
T90062,BR01,2026-07-20 12:45:32,2026-07-21T06:15:00Z,19.01,15.92,1
T90063,BR01,2026-07-20 15:32:48,2026-07-21T06:15:00Z,53.21,44.83,2
T90064,BR01,2026-07-20 08:11:15,2026-07-21T06:15:00Z,43.51,36.05,1
T90065,BR01,2026-07-20 13:50:13,2026-07-21T06:15:00Z,39.06,31.53,6
T90066,BR01,2026-07-20 15:17:11,2026-07-21T06:15:00Z,25.29,21.17,2
T90067,BR01,2026-07-20 09:37:58,2026-07-21T06:15:00Z,58.51,47.25,1
T90068,BR01,2026-07-20 12:19:50,2026-07-21T06:15:00Z,88.76,74.83,3
T90069,BR01,2026-07-20 14:14:56,2026-07-21T06:15:00Z,78.3,65.92,3
T90070,BR01,2026-07-20 18:22:57,2026-07-21T06:15:00Z,90.28,73.04,1
T90071,BR01,2026-07-20 10:40:09,2026-07-21T06:15:00Z,47.44,38.08,3
T90072,BR01,2026-07-20 09:48:55,2026-07-21T06:15:00Z,74.7,59.76,2
T90073,BR01,2026-07-20 16:13:57,2026-07-21T06:15:00Z,44.49,37.44,2
T90074,BR01,2026-07-20 15:20:09,2026-07-21T06:15:00Z,179.02,144.44,2
T90075,BR01,2026-07-20 13:58:22,2026-07-21T06:15:00Z,163.52,130.15,2
T90076,BR01,2026-07-20 08:44:06,2026-07-21T06:15:00Z,144.55,121.01,2
T90077,BR01,2026-07-20 18:53:53,2026-07-21T06:15:00Z,27.41,22.27,1
T90078,BR01,2026-07-20 18:58:21,2026-07-21T06:15:00Z,9.23,7.46,6
T90079,BR01,2026-07-20 11:13:34,2026-07-21T06:15:00Z,111.6,92.03,2
T90080,BR01,2026-07-20 08:18:07,2026-07-21T06:15:00Z,62.26,50.93,6
T90081,BR01,2026-07-20 15:51:58,2026-07-21T06:15:00Z,77.29,64.03,1
T90082,BR01,2026-07-20 18:48:58,2026-07-21T06:15:00Z,64.34,51.54,1
T90083,BR01,2026-07-20 19:43:22,2026-07-21T06:15:00Z,192.21,158.2,2
T90084,BR01,2026-07-20 15:34:21,2026-07-21T06:15:00Z,53.82,43.13,1
T90085,BR01,2026-07-20 17:51:09,2026-07-21T06:15:00Z,26.64,22.3,4
T90086,BR01,2026-07-20 19:57:43,2026-07-21T06:15:00Z,116.66,97.41,1
T90087,BR01,2026-07-20 08:07:53,2026-07-21T06:15:00Z,102.07,82.13,6
T90088,BR01,2026-07-20 10:54:38,2026-07-21T06:15:00Z,43.73,35.09,3
T90089,BR01,2026-07-20 19:18:04,2026-07-21T06:15:00Z,381.2,309.49,1
T90090,BR01,2026-07-20 09:17:12,2026-07-21T06:15:00Z,185.17,153.26,1
T90091,BR01,2026-07-20 18:35:51,2026-07-21T06:15:00Z,65.08,54.91,1
T90092,BR01,2026-07-20 18:50:35,2026-07-21T06:15:00Z,19.24,16.01,1
T90093,BR01,2026-07-20 17:01:58,2026-07-21T06:15:00Z,132.07,109.57,1
T90094,BR01,2026-07-20 13:22:11,2026-07-21T06:15:00Z,51.85,43.78,3
T90095,BR01,2026-07-20 14:13:01,2026-07-21T06:15:00Z,294.56,241.86,6
T90096,BR01,2026-07-20 13:29:55,2026-07-21T06:15:00Z,51.86,42.13,3
T90097,BR01,2026-07-20 18:57:21,2026-07-21T06:15:00Z,21.34,17.9,1
T90098,BR01,2026-07-20 11:17:49,2026-07-21T06:15:00Z,209.59,168.39,2
T90099,BR01,2026-07-20 11:13:09,2026-07-21T06:15:00Z,198.82,165.98,2
T90100,BR01,2026-07-20 10:08:48,2026-07-21T06:15:00Z,70.35,56.82,2
T90101,BR01,2026-07-20 08:06:06,2026-07-21T06:15:00Z,83.4,67.83,1
T90102,BR01,2026-07-20 19:11:03,2026-07-21T06:15:00Z,21.98,18.48,1
T90103,BR01,2026-07-20 09:47:47,2026-07-21T06:15:00Z,325.04,266.57,3
T90104,BR01,2026-07-20 10:50:31,2026-07-21T06:15:00Z,38.66,32.08,6
T90105,BR01,2026-07-20 14:29:51,2026-07-21T06:15:00Z,379.62,307.31,3
T90106,BR01,2026-07-20 15:13:44,2026-07-21T06:15:00Z,20.51,16.57,1
T90107,BR01,2026-07-20 09:32:31,2026-07-21T06:15:00Z,129.56,104.35,1
T90108,BR01,2026-07-20 18:35:56,2026-07-21T06:15:00Z,53.08,43.42,6
T90109,BR01,2026-07-20 11:54:09,2026-07-21T06:15:00Z,8.4,6.86,1
T90110,BR01,2026-07-20 14:40:28,2026-07-21T06:15:00Z,121.94,99.44,2
T90111,BR01,2026-07-20 18:18:32,2026-07-21T06:15:00Z,144.34,119.47,1
T90112,BR01,2026-07-20 16:53:00,2026-07-21T06:15:00Z,3.33,2.68,2
T90113,BR01,2026-07-20 15:16:28,2026-07-21T06:15:00Z,87.39,71.6,4
